date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-08-05,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-06,776.75,42.8,75.05,30.05,21.5,9.75
2024-08-10,812.18,55.78,61.53,35.31,9.64,9.44
2024-08-11,776.75,42.8,75.05,30.05,21.5,9.75
2024-08-12,865.57,86.45,68.28,24.81,3.22,7.09
2024-08-13,712.41,63.13,74.39,19.01,1.83,4.15
2024-08-16,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-17,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-18,1070.16,106.67,64.41,39.85,8.75,16.12
2024-08-19,877.79,84.33,59.87,30.96,8.75,15.35
2024-08-20,874.6,68.26,44.28,45.24,5.05,33.65
2024-08-21,743.15,47.28,45.24,39.99,5.91,38.31
2024-08-22,290.81,4.75,17.86,21.27,2.54,11.18
2024-08-23,865.57,86.45,68.28,24.81,3.22,7.09
2024-08-25,556.8,53.92,23.99,25.24,5.04,23.99
2024-08-26,1491.94,133.31,134.71,45.3,11.86,24.66
2024-08-27,1234.17,106.94,77.25,51.99,12.27,36.7
2024-08-28,1685.31,135.94,139.64,60.13,16.49,34.67
2024-08-29,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-31,637.45,56.42,54.2,19.85,8.74,14.39
2024-09-01,637.45,56.42,54.2,19.85,8.74,14.39
2024-09-02,637.45,56.42,54.2,19.85,8.74,14.39
2024-09-03,637.45,56.42,54.2,19.85,8.74,14.39
2024-09-04,1197.62,77.2,168.34,22.22,0.0,4.23
2024-09-05,827.72,84.38,55.54,28.0,8.74,15.52
2024-09-06,637.45,56.42,54.2,19.85,8.74,14.39
2024-09-07,637.45,56.42,54.2,19.85,8.74,14.39
2024-09-08,804.77,71.33,63.48,28.27,4.08,4.27
2024-09-09,804.77,71.33,63.48,28.27,4.08,4.27
2024-09-11,167.99,8.03,9.73,10.48,0.31,3.31
2024-09-12,19.42,0.93,1.13,1.21,0.03,0.38
2024-09-13,19.42,0.93,1.13,1.21,0.03,0.38
2024-09-18,743.68,27.7,92.59,27.29,8.24,8.14
2024-09-19,661.39,25.75,88.97,20.83,7.05,6.1
2024-09-20,804.77,71.33,63.48,28.27,4.08,4.27
2024-09-21,640.8,103.24,12.39,21.14,1.58,10.13
2024-09-25,1001.5,54.48,153.35,17.88,3.79,5.99
2024-09-26,680.94,56.31,63.96,21.48,2.76,5.46
2024-09-27,439.24,9.07,98.26,0.68,1.53,1.56
2024-09-28,316.22,6.53,70.74,0.49,1.1,1.13
2024-10-21,675.35,55.63,63.89,21.2,2.73,5.4
2024-10-24,680.94,56.31,63.96,21.48,2.76,5.46
2024-10-27,695.98,62.42,76.53,14.48,5.13,2.82
2024-10-28,1292.5,129.4,132.36,27.27,10.75,20.69
2024-10-29,596.19,60.11,66.61,10.84,6.39,17.76
2024-10-30,1554.13,125.33,129.87,59.99,6.78,22.73
2024-10-31,1614.55,129.44,133.86,63.09,6.8,23.04
2024-11-01,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-02,815.43,65.95,89.39,22.32,6.39,29.54
2024-11-03,645.54,19.23,62.61,34.79,0.17,31.39
2024-11-04,96.92,4.63,5.62,6.05,0.17,1.91
2024-11-05,177.69,8.5,10.3,11.09,0.32,3.5
2024-11-07,696.31,69.29,65.75,16.43,4.36,2.93
2024-11-08,161.54,7.72,9.36,10.09,0.29,3.18
2024-11-11,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-12,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-13,596.19,60.11,66.61,10.84,6.39,17.76
2024-11-14,1292.5,129.4,132.36,27.27,10.75,20.69
2024-11-15,954.12,115.73,68.73,24.95,6.39,19.59
2024-11-20,1047.77,71.33,69.19,53.76,0.42,5.44
2024-11-21,680.94,56.31,63.96,21.48,2.76,5.46
2024-11-25,696.31,69.29,65.75,16.43,4.36,2.93
2024-11-27,357.93,55.62,2.12,14.11,0.0,1.83
2024-11-30,282.06,20.95,39.4,4.49,0.15,2.7
2024-12-01,338.21,25.1,47.27,5.38,0.19,3.24
2024-12-02,637.45,56.42,54.2,19.85,8.74,14.39
2024-12-03,637.45,56.42,54.2,19.85,8.74,14.39
2024-12-04,637.45,56.42,54.2,19.85,8.74,14.39
2024-12-06,1360.93,113.43,150.14,32.2,9.17,21.84
2024-12-10,723.48,57.01,95.94,12.35,0.43,7.45
2024-12-16,723.48,57.01,95.94,12.35,0.43,7.45
2024-12-17,1184.58,68.09,196.4,13.77,0.43,8.09
2024-12-29,723.48,57.01,95.94,12.35,0.43,7.45
2025-01-06,140.23,6.18,5.08,10.45,0.4,5.05
2025-01-07,723.48,57.01,95.94,12.35,0.43,7.45
2025-01-08,1033.46,70.36,68.24,53.03,0.42,5.36
2025-01-12,383.41,8.83,40.93,19.84,2.98,25.16
2025-01-13,637.45,56.42,54.2,19.85,8.74,14.39
2025-01-14,637.45,56.42,54.2,19.85,8.74,14.39
2025-01-15,777.68,62.6,59.28,30.3,9.14,19.44
2025-01-16,637.45,56.42,54.2,19.85,8.74,14.39
2025-01-17,637.45,56.42,54.2,19.85,8.74,14.39
2025-01-18,1146.22,107.02,114.22,25.88,17.81,23.43
2025-01-21,635.97,63.25,75.03,7.54,11.33,11.29
2025-01-27,140.23,6.18,5.08,10.45,0.4,5.05
2025-01-28,526.98,12.66,114.82,1.62,0.0,0.74
2025-01-29,461.1,11.08,100.46,1.42,0.0,0.64
2025-02-04,140.23,6.18,5.08,10.45,0.4,5.05
2025-02-05,658.72,15.82,143.52,2.02,0.0,0.92
2025-02-12,140.23,6.18,5.08,10.45,0.4,5.05
2025-02-16,123.04,2.73,7.63,8.77,1.56,6.92
2025-02-17,123.04,2.73,7.63,8.77,1.56,6.92
2025-02-18,906.1,21.77,197.42,2.78,0.0,1.27
2025-02-19,123.04,2.73,7.63,8.77,1.56,6.92
2025-02-27,362.3,8.7,78.94,1.11,0.0,0.51
2025-02-28,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-05,263.49,6.33,57.41,0.81,0.0,0.37
2025-03-07,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-10,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-14,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-16,427.37,42.5,50.42,5.07,7.62,7.59
2025-03-17,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-19,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-21,123.04,2.73,7.63,8.77,1.56,6.92
2025-03-24,935.68,63.7,61.79,48.01,0.38,4.86
2025-03-31,123.04,2.73,7.63,8.77,1.56,6.92
2025-04-02,898.32,61.16,59.32,46.09,0.36,4.66
2025-04-10,123.04,2.73,7.63,8.77,1.56,6.92
2025-04-12,254.39,25.3,30.01,3.02,4.53,4.52
2025-04-14,898.32,61.16,59.32,46.09,0.36,4.66
2025-04-21,723.48,57.01,95.94,12.35,0.43,7.45
2025-04-27,370.28,9.08,60.62,8.26,4.59,7.33
2025-04-28,333.19,8.17,54.55,7.43,4.13,6.6
