date,meal,type,name,brand,amount_g,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,kcal_per_g,protein_per_g,carbs_per_g,fat_per_g,fiber_per_g
2024-04-02,Mittagessen,recipe,Nudeln mit Pouletbrust ,,0.0,1510.8,129.66,138.22,45.69,9.18,4.51,0,0,0,0,0
2024-04-02,Fruehstueck,recipe,Morgenshake,,0.0,617.29,69.87,56.96,13.07,5.9,29.53,0,0,0,0,0
2024-04-05,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-05,Mittagessen,recipe,Poulet mit Spinat,,0.0,375.53,43.61,8.86,17.35,0.01,1.5,0,0,0,0,0
2024-04-08,Mittagessen,recipe,Ghackets mit Härdöpfelstock,,0.0,877.08,58.87,5.92,68.17,1.92,5.02,0,0,0,0,0
2024-04-09,Fruehstueck,recipe,Morge,,0.0,302.1,48.56,15.99,4.15,0.0,12.07,0,0,0,0,0
2024-04-09,Mittagessen,recipe,Poulet mit Spinat,,0.0,2422.8,281.36,57.15,111.96,0.06,9.7,0,0,0,0,0
2024-04-10,Mittagessen,recipe,Cinque pi Crevetten,,0.0,779.7,41.15,52.02,43.59,7.42,6.89,0,0,0,0,0
2024-04-10,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-11,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-12,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-15,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-15,Mittagessen,recipe,Poulet mit Spinat,,0.0,2422.8,281.36,57.15,111.96,0.06,9.7,0,0,0,0,0
2024-04-17,Mittagessen,recipe,Ghackets mit Härdöpfelstock,,0.0,877.08,58.87,5.92,68.17,1.92,5.02,0,0,0,0,0
2024-04-18,Mittagessen,recipe,Kartoffelgratin,,0.0,840.21,16.44,69.98,53.68,0.27,10.85,0,0,0,0,0
2024-04-18,Abendessen,recipe,Nudeln mit Pouletbrust ,,0.0,664.75,57.05,60.82,20.1,4.04,1.99,0,0,0,0,0
2024-04-19,Fruehstueck,recipe,Protein morning shake,,0.0,775.3,83.03,79.4,12.2,7.61,59.4,0,0,0,0,0
2024-04-19,Mittagessen,recipe,Nudeln mit Pouletbrust ,,0.0,846.05,72.61,77.41,25.59,5.14,2.53,0,0,0,0,0
2024-04-20,Fruehstueck,recipe,Protein morning shake,,0.0,775.3,83.03,79.4,12.2,7.61,59.4,0,0,0,0,0
2024-04-21,Fruehstueck,recipe,Pancakes,,0.0,665.12,59.04,71.76,13.1,11.53,20.01,0,0,0,0,0
2024-04-22,Fruehstueck,recipe,Pancakes,,0.0,181.39,16.1,19.57,3.57,3.14,5.46,0,0,0,0,0
2024-04-22,Mittagessen,recipe,Risotto mit Poulet,,0.0,712.41,63.13,74.39,19.01,1.83,4.15,0,0,0,0,0
2024-04-24,Mittagessen,recipe,Bolognese,,0.0,583.57,40.35,7.18,42.08,2.24,3.85,0,0,0,0,0
2024-04-26,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-27,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-27,Abendessen,recipe,Wedges mit Poulet,,0.0,675.5,45.97,45.2,35.41,2.8,1.6,0,0,0,0,0
2024-04-29,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-04-29,Mittagessen,recipe,Wedges mit Poulet,,0.0,675.5,45.97,45.2,35.41,2.8,1.6,0,0,0,0,0
2024-04-30,Mittagessen,recipe,Bolognese,,0.0,585.52,40.48,7.21,42.22,2.25,3.87,0,0,0,0,0
2024-04-30,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-01,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-02,Fruehstueck,recipe,Protein morning shake,,0.0,775.3,83.03,79.4,12.2,7.61,59.4,0,0,0,0,0
2024-05-06,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-07,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-07,Mittagessen,recipe,Wedges mit Poulet,,0.0,675.5,45.97,45.2,35.41,2.8,1.6,0,0,0,0,0
2024-05-08,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-09,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-11,Fruehstueck,recipe,Morgenshake,,0.0,617.29,69.87,56.96,13.07,5.9,29.53,0,0,0,0,0
2024-05-13,Mittagessen,recipe,Risotto mit Poulet,,0.0,712.41,63.13,74.39,19.01,1.83,4.15,0,0,0,0,0
2024-05-13,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-14,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-15,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-16,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-16,Mittagessen,recipe,Wedges small,,0.0,569.6,34.48,38.18,32.16,2.24,1.28,0,0,0,0,0
2024-05-17,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-18,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-18,Mittagessen,recipe,Salatsauce neu ,,0.0,78.41,4.38,1.9,5.9,0.11,1.64,0,0,0,0,0
2024-05-20,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-20,Mittagessen,recipe,Salatsauce neu ,,0.0,834.19,46.59,20.17,62.71,1.2,17.45,0,0,0,0,0
2024-05-21,Mittagessen,recipe,20.Mai Spiralnudeln mit Poulet,,0.0,1068.62,76.32,97.39,40.62,0.46,4.3,0,0,0,0,0
2024-05-21,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-21,Snack,recipe,Salatsauce neu ,,0.0,363.35,20.29,8.79,27.32,0.52,7.6,0,0,0,0,0
2024-05-22,Mittagessen,recipe,Cinque pi Crevetten,,0.0,779.7,41.15,52.02,43.59,7.42,6.89,0,0,0,0,0
2024-05-22,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-22,Mittagessen,recipe,Salatsauce neu ,,0.0,116.31,6.5,2.81,8.74,0.17,2.43,0,0,0,0,0
2024-05-23,Mittagessen,recipe,Salatsauce neu ,,0.0,152.54,8.52,3.69,11.47,0.22,3.19,0,0,0,0,0
2024-05-23,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-24,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-25,Mittagessen,recipe,Salatsauce neu ,,0.0,193.29,10.79,4.67,14.53,0.28,4.04,0,0,0,0,0
2024-05-25,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-27,Mittagessen,recipe,20.Mai Spiralnudeln mit Poulet,,0.0,1068.62,76.32,97.39,40.62,0.46,4.3,0,0,0,0,0
2024-05-27,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-28,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-29,Mittagessen,recipe,Poulet Curry mit Dinkel 09.05,,0.0,775.05,68.95,69.45,24.48,3.85,8.43,0,0,0,0,0
2024-05-29,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-30,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-31,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-05-31,Mittagessen,recipe,20.Mai Spiralnudeln mit Poulet,,0.0,1068.62,76.32,97.39,40.62,0.46,4.3,0,0,0,0,0
2024-06-01,Mittagessen,recipe,Pizza Thon,,0.0,1009.18,74.55,103.6,31.19,5.33,13.93,0,0,0,0,0
2024-06-01,Abendessen,recipe,Juice plus shake,,0.0,421.68,44.03,41.62,6.88,5.13,40.7,0,0,0,0,0
2024-06-02,Mittagessen,recipe,Pizza Thon,,0.0,388.29,28.68,39.86,12.0,2.05,5.36,0,0,0,0,0
2024-06-02,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-06-03,Mittagessen,recipe,Hackbällchen mit Nudeln ,,0.0,1096.8,68.83,72.0,58.53,0.0,5.4,0,0,0,0,0
2024-06-03,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
2024-06-04,Fruehstueck,recipe,Overnight Oats,,0.0,637.45,56.42,54.2,19.85,8.74,14.39,0,0,0,0,0
