date,meal,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2024-06-28,Mittagessen,1096.8,68.83,72.0,58.53,0.0,5.4
2024-06-29,Fruehstueck,184.84,22.89,1.32,9.76,0.0,0.2
2024-06-29,Abendessen,791.47,75.49,55.3,27.99,8.74,14.56
2024-06-29,Mittagessen,814.96,37.81,121.49,17.05,13.92,4.92
2024-06-30,Fruehstueck,200.25,24.8,1.43,10.58,0.0,0.22
2024-06-30,Mittagessen,915.75,45.55,118.02,25.43,19.38,7.82
2024-07-01,Mittagessen,332.76,18.34,32.15,12.87,9.21,4.18
2024-07-04,Mittagessen,199.78,11.01,19.3,7.73,5.53,2.51
2024-07-05,Fruehstueck,234.1,28.99,1.67,12.37,0.0,0.26
2024-07-05,Mittagessen,290.81,4.75,17.86,21.27,2.54,11.18
2024-07-06,Fruehstueck,92.39,11.44,0.66,4.88,0.0,0.1
2024-07-07,Fruehstueck,323.45,40.05,2.3,17.09,0.0,0.36
2024-07-07,Abendessen,95.31,11.19,1.0,5.16,0.01,0.25
2024-07-08,Fruehstueck,247.88,29.1,2.61,13.41,0.04,0.64
2024-07-08,Abendessen,127.08,14.92,1.34,6.88,0.02,0.33
2024-07-08,Mittagessen,176.8,10.01,4.05,13.25,0.0,0.21
2024-07-09,Fruehstueck,176.35,20.7,1.86,9.54,0.03,0.45
2024-07-09,Mittagessen,290.81,4.75,17.86,21.27,2.54,11.18
2024-07-12,Mittagessen,775.05,68.95,69.45,24.48,3.85,8.43
2024-07-13,Fruehstueck,534.4,38.53,9.21,36.22,0.55,1.92
2024-07-14,Fruehstueck,444.11,52.14,4.68,24.03,0.07,1.14
2024-07-14,Snack,393.12,39.51,31.14,9.82,14.17,30.22
2024-07-15,Fruehstueck,208.05,24.43,2.19,11.26,0.03,0.54
2024-07-15,Abendessen,460.8,46.32,36.5,11.51,16.61,35.43
2024-07-17,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-07-18,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-07-19,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-07-26,Fruehstueck,425.66,49.98,4.49,23.04,0.07,1.1
2024-07-27,Fruehstueck,259.63,30.48,2.74,14.05,0.04,0.67
2024-07-31,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-01,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-08-01,Mittagessen,613.53,21.36,9.87,53.96,0.12,5.69
2024-08-02,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-03,Fruehstueck,596.19,60.11,66.61,10.84,6.39,17.76
2024-08-03,Abendessen,101.86,7.25,3.4,6.29,0.0,1.9
2024-08-04,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-05,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-06,Mittagessen,776.75,42.8,75.05,30.05,21.5,9.75
2024-08-10,Fruehstueck,517.92,36.62,44.7,19.7,6.57,4.63
2024-08-10,Abendessen,110.92,6.11,10.72,4.29,3.07,1.39
2024-08-10,Mittagessen,183.34,13.05,6.11,11.32,0.0,3.42
2024-08-11,Mittagessen,776.75,42.8,75.05,30.05,21.5,9.75
2024-08-12,Mittagessen,865.57,86.45,68.28,24.81,3.22,7.09
2024-08-13,Mittagessen,712.41,63.13,74.39,19.01,1.83,4.15
2024-08-16,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-17,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-18,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-18,Mittagessen,432.71,50.25,10.21,20.0,0.01,1.73
2024-08-19,Fruehstueck,637.45,56.42,54.2,19.85,8.74,14.39
2024-08-19,Mittagessen,240.34,27.91,5.67,11.11,0.01,0.96
2024-08-20,Abendessen,634.26,40.35,38.61,34.13,5.04,32.69
2024-08-20,Mittagessen,240.34,27.91,5.67,11.11,0.01,0.96
2024-08-21,Fruehstueck,743.15,47.28,45.24,39.99,5.91,38.31
